,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Itarema,BR,78.69,overcast clouds,-2.9248,-39.9167,Pousada Oásis
203,Chake Chake,TZ,74.46,moderate rain,-5.2459,39.7666,Annex Pemba Hotel
205,Porto Nacional,BR,75.2,moderate rain,-10.7081,-48.4172,Aliança
206,Moranbah,AU,87.39,overcast clouds,-22.0016,148.0466,No hotel found
207,Fomboni,KM,79.77,clear sky,-12.28,43.7425,Mohéli La Plage
208,Meulaboh,ID,76.86,overcast clouds,4.1363,96.1285,Hotel Meuligou
211,Kisangani,CD,71.89,light rain,0.5167,25.2,Le Chalet
215,Umm Lajj,SA,71.98,clear sky,25.0213,37.2685,No hotel found
216,Alta Floresta,BR,72.48,moderate rain,-9.8756,-56.0861,Villas Hotel
218,Labuhan,ID,81.1,overcast clouds,-6.8844,112.2051,No hotel found
220,Manggar,ID,79.7,heavy intensity rain,-2.8833,108.2667,No hotel found
221,Hervey Bay,AU,77.58,clear sky,-25.2986,152.8535,Hervey Bay Hotel
222,Jizan,SA,79.14,light rain,17.3333,42.6667,No hotel found
225,Madimba,TZ,76.01,few clouds,-10.4,40.3333,No hotel found
227,Zacualpan,MX,76.62,clear sky,21.25,-105.1667,No hotel found
228,Flinders,AU,73.18,clear sky,-34.5833,150.8552,No hotel found
231,Gunnedah,AU,79.81,broken clouds,-30.9833,150.25,The Court House
236,Progreso,MX,81.1,broken clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
237,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Grand Bel Air
238,Kahului,US,76.96,broken clouds,20.8947,-156.47,Maui Seaside Hotel
240,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
242,Douentza,ML,71.6,broken clouds,14.9951,-2.9517,No hotel found
243,Biak,ID,82.51,overcast clouds,-0.9131,122.8766,No hotel found
246,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
251,Aguadilla,PR,78.66,overcast clouds,18.4275,-67.1541,Cascadas Hotel De Aguadilla
252,Banda Aceh,ID,80.13,overcast clouds,5.5577,95.3222,Hotel 61
257,Mataram,ID,83.21,broken clouds,-8.5833,116.1167,hotel solas
258,Holguin,CU,76.5,few clouds,20.8872,-76.2631,Arias 260
259,Maraa,BR,74.88,overcast clouds,-1.8333,-65.3667,No hotel found
261,Yulara,AU,80.58,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
262,Itoman,JP,77.02,broken clouds,26.1247,127.6694,No hotel found
264,Sambava,MG,70.77,clear sky,-14.2667,50.1667,Royal Sava Hôtel
278,Noumea,NC,84.18,few clouds,-22.2763,166.4572,Hotel Gondwana
279,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
281,Taoudenni,ML,74.66,overcast clouds,22.6783,-3.9836,No hotel found
286,Adrar,MR,71.53,overcast clouds,20.5022,-10.0711,No hotel found
287,Acarau,BR,78.78,overcast clouds,-2.8856,-40.12,No hotel found
297,Sinnamary,GF,78.67,overcast clouds,5.3833,-52.95,Hôtel du fleuve
298,Isangel,VU,77.97,overcast clouds,-19.55,169.2667,Tanna Lodge
299,Nagua,DO,76.3,clear sky,19.3832,-69.8474,hotel central
300,Barra Patuca,HN,77.86,light rain,15.8,-84.2833,No hotel found
301,Buala,SB,83.8,light rain,-8.145,159.5921,No hotel found
302,Auki,SB,86.23,overcast clouds,-8.7676,160.7034,No hotel found
304,Gilbues,BR,71.38,overcast clouds,-9.8317,-45.3439,Hotel Camapua
312,Broken Hill,AU,87.58,scattered clouds,-31.95,141.4333,Ibis Styles
318,Quatre Cocos,MU,73.09,light rain,-20.2078,57.7625,Horisun
319,Butaritari,KI,81.12,few clouds,3.0707,172.7902,No hotel found
321,Tuy Hoa,VN,78.64,overcast clouds,13.0833,109.3,Vinh Tuan Hotel
322,Kulhudhuffushi,MV,80.08,overcast clouds,6.6221,73.07,No hotel found
331,Garowe,SO,70.23,clear sky,8.4054,48.4845,Red Sea
334,Manokwari,ID,83.17,overcast clouds,-0.8667,134.0833,Hotel Arfak
336,Touros,BR,78.46,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
337,Todos Santos,MX,74.66,clear sky,23.45,-110.2167,Hotel Casa Tota
338,Ishigaki,JP,76.57,overcast clouds,24.3448,124.1572,アートホテル石垣島
339,Charlestown,AU,70.86,overcast clouds,-32.95,151.6667,Warners Bay Hotel
